name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,225.0,4953.539,11925.0,20250.0,18781.875,-8362.748303046501,-16012.93742113349,-11290.054184720299,71.91326639304746,85.53606984554901,151.2417852222361,-15998.993169290028
NVDA-history,141.98,4998.212,72125.84,77379.09999999999,113598.19799999999,-8438.166918897092,-10245.579039171347,-7540.5608440416445,1274.209118802942,1343.1507299175912,2121.9115386854005,-16362.35331455307
INTC-history,24.35,4941.82,2021.0500000000002,2922.0,85659.78648999025,-8342.963852502446,-10449.011355464134,-111956.70150084495,-127.92683368682887,-152.31253577556717,-532.130166838426,-129808.83642993277
META-history,554.08,4805.6,11081.6,31582.56,20204.631090000003,-8112.992195099329,-22750.243803283756,-1915.3318750228361,61.7739263546835,183.79216324114043,380.58305341637185,-32124.488472999736
UBER-history,73.25,4975.56,11207.25,13917.5,21455.40981199218,-8399.924972167555,-10670.031198819335,14006.147281014333,56.42229272348127,65.2684080019267,712.7148922534651,-52425.243238333904
NFLX-history,823.96,4938.1,8239.6,38726.12,13626.238500000001,-8336.68361050026,-31520.160703868332,-12106.199374623262,-1.9660114315275097,145.92574666636298,30.78186195858203,-17067.25432305621
SPOT-history,458.32,4944.94,8708.08,25665.92,15877.08849825,-8348.231152246224,-18967.144831889214,-3785.5385105481555,7.277112518125111,135.46726892764693,244.52369467985142,-20855.197343955348
MSFT-history,415.0,4846.099999999999,9545.0,24900.0,15785.043749999999,-8181.36579754265,-22702.5554149301,-9672.895086901866,28.138796196061776,45.34459844142509,126.12510396191026,-20759.78401931845
NKE-history,76.66,4997.5,3833.0,6669.42,43660.265625,-8436.96489408378,-14287.492408385971,-72113.82979982995,-92.12536056195657,-152.43766700122003,-569.3559614773378,-72113.82979982995
AMD-history,134.9,4966.2,12545.7,17537.0,19759.4775,-8384.123072936236,-13626.51101534791,-9775.188677805978,83.7980131098982,78.7420761276648,201.04483955930132,-16195.987321205053
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,10.6,4988.46,2257.7999999999997,2650.0,18002.427187499998,-8421.703230723606,-9854.099159980204,-33183.054664921896,-123.56324859222299,-144.4152936974578,-304.31490835692574,-39814.69986242999
GOOG-history,173.89,4935.8099999999995,11476.74,17910.67,19928.641713749996,-8332.817547547282,-14270.070203754567,-9278.456811484546,63.69618061580001,73.75891284805192,215.77380211688558,-36894.141081179594
MHVYF-history,15.3,4998.6720000000005,31946.4,32512.5,31946.4,-8438.943507961863,-8667.896915964146,-8438.943507961863,470.274034624359,477.0187578628054,470.274034624359,-8438.943507961863
LLY-history,746.2,4839.8099999999995,21639.800000000003,49249.200000000004,21639.800000000003,-8170.746786200193,-26860.637211966412,-8170.746786200193,278.29714831366954,462.591770917321,278.29714831366954,-8170.746786200193
TSLA-history,320.72,4937.705999999999,17318.88,29185.520000000004,40915.85400000001,-8336.018445083895,-19447.517060802536,-20584.248814162424,181.92378312755167,197.21714778477028,411.762166192916,-35980.66148278351
DIS-history,115.08,4920.490000000001,4948.44,9206.4,199746.39012890623,-8306.953755215658,-14534.654761251364,-169488.5119387922,-68.25567687802754,-108.28707631254943,614.9362805353541,-245946.65284266468
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,98.42,4979.04,6495.72,10137.26,77689.82615625001,-8405.800037266403,-13133.164399349052,-75920.47671742774,-38.362415993171425,-60.170321976707406,35.53595550190951,-75920.47671742774
ABNB-history,132.5,4873.75,4637.5,9142.5,7304.0625,-7800.812299219948,-14030.627597615188,-10707.334488391192,-64.90509975316641,-100.2950007204963,-69.82861222654408,-12582.33853248298
